 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
623,Image01_cropped.jpg,2,2262.00000,2662.00000,5.65685,0.78540,2.64575,0.37796,0.66667
624,Image01_cropped.jpg,3,2272.16667,2661.83333,5.65685,1.00000,1.46385,0.68313,0.85714
625,Image01_cropped.jpg,9,2277.16667,2663.05556,15.31371,0.48227,1.90693,0.52440,0.58065
626,Image01_cropped.jpg,2,2281.00000,2661.50000,4.24264,1.00000,2.00000,0.50000,1.00000
627,Image01_cropped.jpg,2,2288.00000,2661.50000,4.24264,1.00000,2.00000,0.50000,1.00000
628,Image01_cropped.jpg,2,2435.00000,2662.00000,5.65685,0.78540,2.64575,0.37796,0.66667
629,Image01_cropped.jpg,1,2227.50000,2662.50000,2.82843,1.00000,1.00000,1.00000,1.00000
630,Image01_cropped.jpg,1,2249.50000,2662.50000,2.82843,1.00000,1.00000,1.00000,1.00000
631,Image01_cropped.jpg,4,2284.25000,2663.50000,7.65685,0.85737,1.46760,0.68139,0.80000
632,Image01_cropped.jpg,15,2290.03333,2664.43333,20.97056,0.42863,1.75968,0.56829,0.65217
633,Image01_cropped.jpg,1,2242.50000,2663.50000,2.82843,1.00000,1.00000,1.00000,1.00000
634,Image01_cropped.jpg,1,2265.50000,2663.50000,2.82843,1.00000,1.00000,1.00000,1.00000
635,Image01_cropped.jpg,1,2423.50000,2663.50000,2.82843,1.00000,1.00000,1.00000,1.00000
636,Image01_cropped.jpg,1,2431.50000,2663.50000,2.82843,1.00000,1.00000,1.00000,1.00000
637,Image01_cropped.jpg,1,3371.50000,2663.50000,2.82843,1.00000,1.00000,1.00000,1.00000
638,Image01_cropped.jpg,1,2236.50000,2664.50000,2.82843,1.00000,1.00000,1.00000,1.00000
639,Image01_cropped.jpg,1,2252.50000,2664.50000,2.82843,1.00000,1.00000,1.00000,1.00000
640,Image01_cropped.jpg,1,2267.50000,2664.50000,2.82843,1.00000,1.00000,1.00000,1.00000
641,Image01_cropped.jpg,2,2270.00000,2665.00000,5.65685,0.78540,2.64575,0.37796,0.66667
642,Image01_cropped.jpg,3,2429.50000,2665.16667,7.07107,0.75398,2.70203,0.37009,0.66667
643,Image01_cropped.jpg,1,3172.50000,2664.50000,2.82843,1.00000,1.00000,1.00000,1.00000
644,Image01_cropped.jpg,1,3292.50000,2664.50000,2.82843,1.00000,1.00000,1.00000,1.00000
645,Image01_cropped.jpg,1,2238.50000,2665.50000,2.82843,1.00000,1.00000,1.00000,1.00000
646,Image01_cropped.jpg,1,2249.50000,2665.50000,2.82843,1.00000,1.00000,1.00000,1.00000
647,Image01_cropped.jpg,6,2297.16667,2667.16667,11.31371,0.58905,3.52541,0.28366,0.63158
648,Image01_cropped.jpg,1,3141.50000,2665.50000,2.82843,1.00000,1.00000,1.00000,1.00000
649,Image01_cropped.jpg,3,2257.83333,2666.83333,5.65685,1.00000,1.46385,0.68313,0.85714
650,Image01_cropped.jpg,1,2260.50000,2666.50000,2.82843,1.00000,1.00000,1.00000,1.00000
651,Image01_cropped.jpg,1,2273.50000,2666.50000,2.82843,1.00000,1.00000,1.00000,1.00000
652,Image01_cropped.jpg,7,2280.07143,2667.50000,11.31371,0.68722,1.28017,0.78115,0.70000
653,Image01_cropped.jpg,2,2392.50000,2667.00000,4.82843,1.00000,2.00000,0.50000,1.00000
654,Image01_cropped.jpg,2,2436.50000,2667.00000,4.82843,1.00000,2.00000,0.50000,1.00000
655,Image01_cropped.jpg,1,3363.50000,2666.50000,2.82843,1.00000,1.00000,1.00000,1.00000
656,Image01_cropped.jpg,1,2249.50000,2667.50000,2.82843,1.00000,1.00000,1.00000,1.00000
657,Image01_cropped.jpg,3,2253.50000,2668.16667,8.48528,0.52360,1.56670,0.63828,0.60000
658,Image01_cropped.jpg,4,2264.25000,2667.75000,7.07107,1.00000,2.00000,0.50000,0.80000
659,Image01_cropped.jpg,12,2270.66667,2669.50000,26.97056,0.20731,2.79590,0.35767,0.37500
660,Image01_cropped.jpg,21,2307.07143,2669.54762,17.55635,0.85617,1.39863,0.71499,0.77778
661,Image01_cropped.jpg,1,2430.50000,2667.50000,2.82843,1.00000,1.00000,1.00000,1.00000
662,Image01_cropped.jpg,1,3225.50000,2667.50000,2.82843,1.00000,1.00000,1.00000,1.00000
663,Image01_cropped.jpg,1,3369.50000,2667.50000,2.82843,1.00000,1.00000,1.00000,1.00000
664,Image01_cropped.jpg,1,2233.50000,2668.50000,2.82843,1.00000,1.00000,1.00000,1.00000
665,Image01_cropped.jpg,2,2242.00000,2668.50000,4.24264,1.00000,2.00000,0.50000,1.00000
666,Image01_cropped.jpg,13,2286.19231,2670.34615,26.38478,0.23466,2.16479,0.46194,0.50980
667,Image01_cropped.jpg,5,2381.70000,2669.30000,8.48528,0.87266,1.88180,0.53141,0.71429
668,Image01_cropped.jpg,2,2394.50000,2669.00000,4.82843,1.00000,2.00000,0.50000,1.00000
669,Image01_cropped.jpg,1,2235.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
670,Image01_cropped.jpg,2,2239.50000,2670.00000,4.82843,1.00000,2.00000,0.50000,1.00000
671,Image01_cropped.jpg,1,2277.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
672,Image01_cropped.jpg,11,2369.50000,2671.77273,20.38478,0.33265,1.82946,0.54661,0.44898
673,Image01_cropped.jpg,1,2384.50000,2669.50000,2.82843,1.00000,1.00000,1.00000,1.00000
