 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
92,Image01_cropped.jpg,28826,1871.18809,1978.12891,688.22244,0.76478,1.05428,0.94851,0.96780
93,Image01_cropped.jpg,35476,2142.53346,1987.30325,762.36457,0.76704,1.45139,0.68900,0.97888
94,Image01_cropped.jpg,5387,1372.65092,1953.82077,310.67619,0.70136,1.54024,0.64925,0.93867
95,Image01_cropped.jpg,36434,286.48265,2032.00382,869.68542,0.60533,1.30039,0.76900,0.97712
96,Image01_cropped.jpg,10093,1303.74928,1984.93268,441.98990,0.64924,1.29067,0.77479,0.91813
97,Image01_cropped.jpg,9697,1204.70408,1973.49010,444.29141,0.61732,1.17396,0.85182,0.96382
98,Image01_cropped.jpg,21349,2406.19254,2009.51864,575.10974,0.81112,1.13169,0.88363,0.97515
99,Image01_cropped.jpg,38924,2899.60397,2057.59161,823.11688,0.72195,1.11466,0.89713,0.98037
100,Image01_cropped.jpg,13575,2310.84320,2072.54921,538.90873,0.58738,1.37801,0.72568,0.96103
101,Image01_cropped.jpg,33299,659.18161,2092.66373,779.56053,0.68856,1.06931,0.93518,0.97848
102,Image01_cropped.jpg,27372,1937.11621,2123.96361,709.37677,0.68354,1.72544,0.57956,0.96736
103,Image01_cropped.jpg,44983,2575.20676,2165.43844,907.28340,0.68671,1.29286,0.77348,0.97844
104,Image01_cropped.jpg,33960,906.96537,2161.47206,855.94531,0.58249,1.23437,0.81013,0.97099
105,Image01_cropped.jpg,8120,1727.71084,2129.19507,388.41631,0.67635,1.65546,0.60406,0.93645
106,Image01_cropped.jpg,14705,1528.26199,2141.54325,550.41631,0.60995,1.47502,0.67796,0.96265
107,Image01_cropped.jpg,13628,1650.83527,2167.05768,556.35743,0.55327,1.40261,0.71296,0.91157
108,Image01_cropped.jpg,38521,2048.93761,2227.83021,858.71486,0.65646,1.65181,0.60540,0.97338
109,Image01_cropped.jpg,28676,477.02281,2220.93210,707.92092,0.71905,1.37645,0.72651,0.97614
110,Image01_cropped.jpg,39973,2249.28606,2273.19547,812.24682,0.76138,1.15084,0.86893,0.97021
111,Image01_cropped.jpg,30939,1162.86970,2273.32827,743.07525,0.70413,1.47139,0.67963,0.98194
112,Image01_cropped.jpg,41751,2807.71980,2360.27311,1053.34942,0.47286,1.46680,0.68175,0.95500
113,Image01_cropped.jpg,31753,920.36285,2386.30827,719.05087,0.77175,1.28862,0.77602,0.97891
114,Image01_cropped.jpg,18311,1866.22175,2376.71998,547.79603,0.76680,1.60961,0.62127,0.97951
115,Image01_cropped.jpg,27539,482.54975,2399.56387,717.67828,0.67189,1.20316,0.83115,0.97499
116,Image01_cropped.jpg,30393,742.14123,2440.07382,772.28846,0.64036,1.45352,0.68798,0.96946
117,Image01_cropped.jpg,38040,2103.99926,2430.76046,913.60931,0.57270,1.43553,0.69661,0.97157
118,Image01_cropped.jpg,34965,1634.95957,2436.75637,825.40115,0.64493,1.41861,0.70491,0.97417
119,Image01_cropped.jpg,14255,1790.58923,2434.18074,578.70772,0.53488,1.66947,0.59899,0.94961
120,Image01_cropped.jpg,30490,1261.51633,2489.51709,758.66609,0.66568,1.54982,0.64524,0.95728
121,Image01_cropped.jpg,29960,1107.91806,2508.77603,790.34733,0.60272,1.44504,0.69202,0.95820
122,Image01_cropped.jpg,29699,1431.99968,2543.26225,752.24682,0.65952,1.25907,0.79424,0.97222
123,Image01_cropped.jpg,18055,2451.74198,2531.70858,549.71277,0.75082,1.60813,0.62184,0.97313
124,Image01_cropped.jpg,20875,2358.48855,2593.43121,1096.97179,0.21799,1.26808,0.78860,0.91153
